pub_date	title	venue	excerpt	citation	url_slug	paper_url
2022-11-08	JAWS: Auditing Predictive Uncertainty Under Covariate Shift	Neural Information Processing Systems (NeurIPS)	Description.	Drew Prinster, Suchi Saria, Anqi Liu (2022). "JAWS: Auditing Predictive Uncertainty Under Covariate Shift." <i>NeurIPS</i>.	2022-neurips-jaws	https://papers.nips.cc/paper_files/paper/2022/file/e944bacecce6b06374ac39b260348db0-Paper-Conference.pdf
2023-07-25	JAWS-X: Addressing Efficiency Bottlenecks of Conformal Prediction Under Standard and Feedback Covariate Shift	International Conference on Machine Learning (ICML)	Description.	Prinster, D., Saria, S., Liu, A. (2031). "JAWS-X: Addressing Efficiency Bottlenecks of Conformal Prediction Under Standard and Feedback Covariate Shift." <i>International Conference on Machine Learning</i>.	2023-icml-jaws-x	https://proceedings.mlr.press/v202/prinster23a/prinster23a.pdf
